iter	Passed	Remaining
263	8586	23937
264	8625	23924
265	8661	23901
266	8708	23907
267	8775	23968
268	8855	24065
269	8938	24167
270	9055	24360
271	9118	24404
272	9166	24409
273	9206	24394
274	9246	24375
275	9287	24363
276	9339	24377
277	9392	24393
278	9451	24424
279	9525	24494
280	9592	24543
281	9654	24581
282	9713	24609
283	9767	24626
284	9850	24713
285	9920	24767
286	9957	24736
287	9996	24713
288	10029	24673
289	10057	24624
290	10091	24588
291	10122	24543
292	10152	24497
293	10183	24453
294	10214	24410
295	10246	24369
296	10278	24330
297	10306	24279
298	10331	24222
299	10357	24167
300	10389	24126
301	10418	24080
302	10448	24034
303	10474	23982
304	10504	23935
305	10531	23885
306	10557	23831
307	10581	23774
308	10609	23725
309	10634	23670
310	10657	23611
311	10683	23557
312	10707	23501
313	10731	23445
314	10754	23387
315	10780	23335
316	10804	23279
317	10834	23236
318	10858	23180
319	10882	23124
320	10906	23069
321	10936	23027
322	10962	22977
323	10985	22919
324	11008	22864
325	11035	22815
326	11068	22780
327	11099	22740
328	11125	22691
329	11151	22640
330	11178	22593
331	11205	22545
332	11229	22493
333	11256	22445
334	11282	22396
335	11309	22349
336	11335	22300
337	11360	22251
338	11385	22200
339	11409	22148
340	11434	22096
341	11457	22044
342	11484	21997
343	11507	21944
344	11530	21891
345	11554	21840
346	11578	21788
347	11602	21737
348	11626	21687
349	11652	21639
350	11677	21591
351	11703	21544
352	11727	21495
353	11754	21449
354	11781	21405
355	11806	21358
356	11868	21376
357	11941	21413
358	11977	21385
359	12011	21353
360	12052	21334
361	12143	21401
362	12199	21408
363	12237	21381
364	12277	21359
365	12313	21330
366	12347	21296
367	12378	21258
368	12409	21220
369	12442	21186
370	12476	21153
371	12509	21118
372	12543	21084
373	12577	21052
374	12615	21026
375	12654	21000
376	12687	20966
377	12720	20931
378	12751	20893
379	12782	20855
380	12812	20816
381	12844	20779
382	12869	20732
383	12897	20689
384	12921	20641
385	12947	20594
386	12974	20552
387	13000	20505
388	13029	20465
389	13057	20423
390	13086	20383
391	13114	20340
392	13139	20294
393	13165	20249
394	13193	20207
395	13229	20177
396	13259	20140
397	13292	20105
398	13406	20194
399	13564	20346
400	13666	20415
401	13704	20386
402	13736	20349
403	13769	20313
404	13809	20287
405	13853	20268
406	13896	20246
407	13934	20217
408	13968	20184
409	13997	20142
410	14024	20099
411	14057	20062
412	14088	20023
413	14117	19983
414	14147	19942
415	14179	19905
416	14211	19868
417	14245	19834
418	14272	19791
419	14305	19755
420	14336	19716
421	14383	19700
422	14429	19682
423	14467	19653
424	14503	19621
425	14555	19612
426	14596	19586
427	14635	19559
428	14673	19530
429	14708	19497
430	14740	19460
431	14774	19425
432	14807	19389
433	14840	19354
434	14877	19323
435	14912	19290
436	14944	19253
437	14973	19213
438	15010	19181
439	15042	19145
440	15081	19117
441	15122	19090
442	15158	19058
443	15191	19023
444	15222	18985
445	15256	18950
446	15287	18912
447	15320	18877
448	15362	18852
449	15470	18908
450	15618	19012
451	15691	19024
452	15730	18994
453	15765	18960
454	15810	18938
455	15850	18908
456	15892	18883
457	15923	18843
458	15957	18808
459	15985	18766
460	16014	18723
461	16039	18678
462	16069	18638
463	16096	18593
464	16120	18547
465	16149	18506
466	16178	18464
467	16206	18422
468	16233	18379
469	16263	18339
470	16291	18297
471	16324	18260
472	16355	18222
473	16390	18188
474	16421	18149
475	16537	18204
476	16703	18314
477	16822	18371
478	16887	18368
479	16935	18346
480	16984	18325
481	17030	18302
482	17075	18277
483	17120	18252
484	17171	18233
485	17213	18205
486	17254	18175
487	17294	18144
488	17332	18112
489	17372	18081
490	17410	18049
491	17444	18012
492	17478	17975
493	17510	17936
494	17545	17900
495	17578	17862
496	17610	17823
497	17646	17788
498	17680	17751
499	17718	17718
500	17752	17681
501	17785	17643
502	17818	17605
503	17847	17564
504	17878	17524
505	17917	17492
506	17972	17476
507	18026	17458
508	18070	17431
509	18109	17399
510	18152	17370
511	18186	17334
512	18217	17293
513	18248	17254
514	18277	17212
515	18313	17177
516	18345	17138
517	18375	17098
518	18407	17059
519	18435	17017
520	18461	16972
521	18488	16929
522	18518	16889
523	18545	16846
524	18574	16805
525	18605	16766
526	18637	16727
527	18665	16685
528	18694	16645
529	18725	16605
530	18748	16559
531	18774	16515
532	18800	16472
533	18824	16427
534	18851	16384
535	18876	16340
536	18902	16297
537	18926	16252
538	18952	16210
539	18975	16164
540	19001	16121
541	19026	16077
542	19053	16035
543	19081	15995
544	19109	15953
545	19139	15914
546	19174	15879
547	19208	15843
548	19239	15805
549	19271	15767
550	19302	15729
551	19328	15686
552	19357	15646
553	19384	15605
554	19407	15560
555	19430	15516
556	19455	15473
557	19482	15432
558	19506	15389
559	19530	15345
560	19553	15301
561	19576	15257
562	19603	15216
563	19627	15172
564	19651	15129
565	19678	15088
566	19780	15106
567	19827	15079
568	19949	15111
569	20036	15115
570	20079	15086
571	20117	15053
572	20154	15018
573	20188	14983
574	20226	14950
575	20265	14917
576	20296	14879
577	20349	14856
578	20404	14836
579	20440	14801
580	20471	14763
581	20506	14727
582	20540	14691
583	20577	14658
584	20612	14622
585	20641	14582
586	20667	14541
587	20693	14499
588	20717	14456
589	20742	14414
590	20772	14375
591	20806	14339
592	20834	14299
593	20867	14262
594	20894	14222
595	20922	14182
596	20949	14141
597	20978	14102
598	21005	14061
599	21038	14025
600	21072	13989
601	21109	13956
602	21144	13921
603	21175	13883
604	21213	13850
605	21255	13819
606	21290	13784
607	21325	13749
608	21359	13713
609	21413	13690
610	21474	13672
611	21545	13659
612	21582	13625
613	21623	13593
614	21706	13588
615	21764	13567
616	21815	13542
617	21859	13512
618	21896	13477
619	21935	13444
620	21976	13412
621	22016	13379
622	22055	13346
623	22084	13307
624	22112	13267
625	22141	13228
626	22169	13188
627	22200	13150
628	22232	13113
629	22266	13077
630	22291	13035
631	22320	12996
632	22353	12960
633	22385	12923
634	22413	12883
635	22512	12884
636	22651	12907
637	22730	12897
638	22800	12880
639	22840	12847
640	22881	12815
641	22931	12787
642	22986	12762
643	23019	12724
644	23048	12685
645	23086	12650
646	23118	12613
647	23155	12578
648	23192	12543
649	23237	12512
650	23274	12477
651	23307	12440
652	23352	12409
653	23393	12376
654	23442	12347
655	23484	12315
656	23523	12280
657	23552	12241
658	23582	12202
659	23612	12164
660	23642	12125
661	23673	12087
662	23709	12051
663	23743	12014
664	23775	11977
665	23807	11939
666	23842	11903
667	23876	11866
668	23913	11831
669	23950	11796
670	23987	11761
671	24034	11730
672	24077	11698
673	24121	11667
674	24176	11640
675	24225	11611
676	24276	11582
677	24324	11552
678	24372	11522
679	24419	11491
680	24465	11460
681	24527	11436
682	24592	11414
683	24750	11434
684	24893	11447
685	25095	11486
686	25192	11477
687	25252	11451
688	25290	11415
689	25331	11380
690	25373	11346
691	25432	11319
692	25487	11290
693	25544	11263
694	25606	11237
695	25651	11204
696	25697	11171
697	25758	11144
698	25809	11114
699	25857	11081
700	25917	11054
701	25979	11028
702	26027	10996
703	26061	10957
704	26100	10921
705	26136	10884
706	26172	10846
707	26206	10808
708	26238	10769
709	26267	10729
710	26299	10689
711	26332	10651
712	26376	10617
713	26428	10586
714	26476	10553
715	26504	10513
716	26536	10474
717	26572	10436
718	26614	10401
719	26649	10363
720	26681	10324
721	26719	10288
722	26763	10253
723	26812	10221
724	26852	10185
725	26891	10149
726	26932	10113
727	26964	10074
728	27002	10038
729	27036	9999
730	27069	9961
731	27101	9922
732	27134	9883
733	27173	9847
734	27209	9810
735	27240	9771
736	27270	9731
737	27303	9693
738	27336	9654
739	27372	9617
740	27422	9584
741	27487	9557
742	27550	9529
743	27600	9497
744	27644	9462
745	27697	9430
746	27734	9393
747	27769	9355
748	27804	9317
749	27849	9283
750	27893	9248
751	27939	9213
752	27978	9177
753	28017	9140
754	28072	9109
755	28125	9077
756	28198	9051
757	28267	9024
758	28322	8993
759	28380	8962
760	28489	8947
761	28570	8923
762	28636	8894
763	28697	8864
764	28778	8840
765	28838	8809
766	28897	8778
767	28959	8748
768	29026	8719
769	29090	8689
770	29154	8659
771	29207	8626
772	29247	8588
773	29286	8551
774	29326	8514
775	29371	8478
776	29407	8440
777	29450	8403
778	29487	8365
779	29530	8329
780	29570	8291
781	29604	8252
782	29634	8212
783	29675	8175
784	29718	8139
785	29761	8102
786	29799	8065
787	29835	8026
788	29872	7988
789	29917	7952
790	29964	7917
791	30010	7881
792	30111	7860
793	30225	7841
794	30292	7811
795	30322	7771
796	30358	7732
797	30387	7692
798	30418	7652
799	30452	7613
800	30483	7573
801	30511	7532
802	30541	7492
803	30570	7452
804	30605	7413
805	30644	7376
806	30682	7337
807	30715	7298
808	30753	7260
809	30790	7222
810	30825	7183
811	30860	7145
812	30893	7105
813	30928	7067
814	30958	7027
815	30988	6987
816	31017	6947
817	31047	6907
818	31078	6868
819	31111	6829
820	31147	6791
821	31179	6751
822	31206	6711
823	31238	6672
824	31271	6633
825	31302	6593
826	31331	6554
827	31367	6515
828	31395	6476
829	31423	6436
830	31454	6396
831	31481	6356
832	31509	6317
833	31538	6277
834	31564	6237
835	31595	6198
836	31626	6159
837	31657	6119
838	31687	6080
839	31718	6041
840	31758	6004
841	31797	5966
842	31832	5928
843	31869	5890
844	31910	5853
845	31945	5815
846	31982	5777
847	32018	5739
848	32055	5701
849	32094	5663
850	32136	5626
851	32173	5588
852	32206	5550
853	32243	5512
854	32277	5474
855	32316	5436
856	32349	5397
857	32383	5359
858	32419	5321
859	32458	5283
860	32498	5246
861	32533	5208
862	32571	5170
863	32601	5131
864	32635	5093
865	32670	5055
866	32700	5016
867	32729	4977
868	32761	4938
869	32793	4900
870	32828	4862
871	32861	4823
872	32895	4785
873	32936	4748
874	32968	4709
875	32997	4670
876	33029	4632
877	33062	4594
878	33094	4555
879	33120	4516
880	33150	4477
881	33180	4439
882	33210	4400
883	33245	4362
884	33277	4324
885	33305	4285
886	33333	4246
887	33359	4207
888	33391	4169
889	33421	4130
890	33451	4092
891	33479	4053
892	33509	4015
893	33538	3976
894	33579	3939
895	33625	3902
896	33674	3866
897	33730	3831
898	33766	3793
899	33811	3756
900	33849	3719
901	33887	3681
902	33933	3645
903	33965	3606
904	33994	3568
905	34021	3529
906	34048	3491
907	34077	3452
908	34107	3414
909	34133	3375
910	34163	3337
911	34190	3299
912	34217	3260
913	34243	3222
914	34273	3183
915	34303	3145
916	34334	3107
917	34363	3069
918	34393	3031
919	34422	2993
920	34452	2955
921	34482	2917
922	34509	2878
923	34538	2840
924	34566	2802
925	34594	2764
926	34626	2726
927	34661	2689
928	34711	2652
929	34747	2615
930	34777	2577
931	34814	2540
932	34846	2502
933	34883	2465
934	34921	2427
935	34952	2389
936	34986	2352
937	35014	2314
938	35041	2276
939	35069	2238
940	35095	2200
941	35119	2162
942	35147	2124
943	35173	2086
944	35198	2048
945	35225	2010
946	35252	1972
947	35279	1935
948	35306	1897
949	35331	1859
950	35357	1821
951	35385	1784
952	35413	1746
953	35438	1708
954	35464	1671
955	35490	1633
956	35514	1595
957	35541	1558
958	35567	1520
959	35594	1483
960	35623	1445
961	35651	1408
962	35678	1370
963	35705	1333
964	35734	1296
965	35762	1258
966	35787	1221
967	35813	1183
968	35838	1146
969	35865	1109
970	35894	1072
971	35922	1034
972	35946	997
973	35973	960
974	36000	923
975	36025	885
976	36051	848
977	36076	811
978	36104	774
979	36133	737
980	36158	700
981	36185	663
982	36211	626
983	36236	589
984	36261	552
985	36286	515
986	36308	478
987	36334	441
988	36357	404
989	36383	367
990	36411	330
991	36448	293
992	36484	257
993	36521	220
994	36562	183
995	36594	146
996	36627	110
997	36665	73
998	36708	36
999	36750	0
